game,Black's method rank,Condorcet rank,Borda rank,Count of listings,QID,record ID
Rock Band 4,1552,73,680,1,Q19477326,recDpaERkO7ydwQVf
Panzer Dragoon,1553,73,697,1,Q515378,reckvDBSPQePGRl7Q
Wipeout 3,1554,73,697,1,Q839768,recXVKW6Onfc3V6wh
Wipeout Fusion,1555,73,697,1,Q3569423,recyv1fTfdSi5MGlJ
Wipeout 2048,1556,73,697,1,Q3070290,recLR8AquLhRCjCEs
Wipeout 64,1557,73,697,1,Q3015143,recIp6KkYmQFypuhF
Wipeout Pure,1558,73,697,1,Q3009561,recmMquzvkCOGmgpf
Diddy Kong Racing,1559,73,702,1,Q545072,recMWGHBfYDKrBwn1
Alpha Protocol,1560,73,713,1,Q266079,recoGqeh7mRWMOn5I
Virtua Cop,1561,73,724,1,Q1970425,recBDFznmv5S9lRKZ
Final Doom,1562,73,727,1,Q1088780,rec5yfQKEVP0BZ8eP
Doom 64,1563,73,727,1,Q1071278,recLY4yo41iguSjpv
WarioWare: Touched!,1564,73,730,1,Q1154907,rec4ylf8nlZKgEaIk
Virtua Tennis 2,1565,73,731,1,Q2631425,recRKVIoKbKeFIBUi
Terminator 2: Judgement Day,1566,73,742,1,Q16610291,recrfNRiizIaBzIcW
Three Fourths Home,1567,73,745,1,Q19753040,recoahyopUfKDUgDq
FIFA 11,1568,73,750,1,Q426939,rec2CrckWkr01jnV4
Halo: Reach,1569,73,757,1,Q283878,rec9OUR1XP7GtGEql
Double Dribble,1570,73,763,1,Q625283,recjzCrXc6hIWokmx
Little Big Adventure 2,1571,73,768,1,Q2380244,recsyxwB3OC5dcwy6
Dungeon Keeper 2,1572,73,790,1,Q1077080,recnjvfdVsGMuHop9
Vampire: The Masquerade – Redemption,1573,74,647,1,Q1954442,recbv6cyWrinISTGA
Castle of Illusion,1574,74,699,1,Q379017,rec74TstohxRpqU5p
Path of Exile,1575,74,701,1,Q3790509,rec4VWHExx5IESgWj
Ninja Gaiden 3,1576,74,709,1,Q779699,rec2UBdearwqgLXMM
Ninja Gaiden (2004),1577,74,709,1,Q976995,recEgNxT9NenbzQ2H
Ninja Gaiden 2 (2008),1578,74,709,1,Q2557356,recC5ONrNLPURTmZ4
Trials Fusion,1579,74,711,1,Q16617686,recuviMhqxsUY0Mnz
Prison Architect,1580,74,716,1,Q7245729,rec3Kw1BDhpB1Xm1W
Earthworm Jim 2,1581,74,723,1,Q577926,recehwpP7QanIZrBI
Heroes of Might and Magic,1582,74,741,1,Q5743244,recMJJgWISAXgdOWZ
King's Bounty,1583,74,741,1,Q1742178,recMEMvKF8aNgghME
NCAA Basketball,1584,74,744,1,Q3334265,recw7HjGIu3UfjuVb
Burnout 2,1585,74,744,1,Q578147,recSO3yw98CTgQTCG
King's Quest 8: Mask of Eternity,1586,74,756,1,Q1742190,recdQRGEqYnP6LQ3d
King's Quest 4: The Perils of Rosella,1587,74,756,1,Q1552491,recmcYGGp6zV1Vht6
King's Quest I: Quest for the Crown,1588,74,756,1,Q4042214,recnKo8Ty1GIy3rLe
King's Quest 7: The Princeless Bride,1589,74,756,1,Q574590,recC4wmNQSxH2eINf
Wizard and the Princess,1590,74,756,1,Q4053202,recLg3LxXgsCgqQMB
King's Quest 5: Absence Makes the Heart Go Yonder!,1591,74,756,1,Q1618401,recO5TP3bsZeMamCP
Superhot,1592,74,766,1,Q16267745,recZZzW0PADidRms6
BurgerTime,1593,74,775,1,Q1014915,recbttSNdbpMMUkbm
PGA Tour Golf,1594,74,777,1,Q2158049,recZgAr9cjO1McQeZ
Worms 2,1595,74,796,1,Q2597789,reckSEPr0eDVEcFlV
Kirby: Canvas Curse,1596,75,648,1,Q2385982,recsHL3OAwsdBHTCY
Shadow of the Beast,1597,75,707,1,Q1481597,rec1ktY15jNXJ7B7C
Far Cry 4,1598,75,715,1,Q15992359,recASV2vEjQbYQUiD
The Need For Speed,1599,75,715,1,Q429246,rec6wlNz6Nrc64avk
Tiger Woods PGA Tour 2009,1600,75,744,1,Q846944,recM1AlinfZYMb3si
Lunar,1601,75,745,1,Q55936714,recta32d8acNlO9Jd
The Lurking Horror,1602,75,752,1,Q2412633,recckLEc0CXkMv8jQ
Tiger Woods PGA Tour 2003,1603,75,752,1,Q7801509,recd7bbjkNyr292Rf
Hellblade: Senua's Sacrifice,1604,75,773,1,Q18185763,recOnbBptB0fDjsnH
Castle Wolfenstein,1605,75,779,1,Q1049570,recvaiOhB9L5HShXI
Red Baron 2,1606,75,781,1,Q3422662,recw7qIdf1l2WgnVa
Words with Friends,1607,75,783,1,Q3569893,rec1xjrDlVIhrMb31
Hot Shots Golf Fore!,1608,75,788,1,Q3735505,recOGjkYgUWTeKvk2
Street Fighter 2: 3rd Strike,1609,76,649,1,Q2467423,rec4qnDBDW0JcVoJ4
Crimson Skies: High Road to Revenge,1610,76,722,1,Q629055,recKn4LJuEsSFqWQe
FTL: Advanced Edition,1611,76,727,1,Q108391012,recYfOaxakv5xdPZd
Escape From the Mindmaster,1612,76,747,1,Q5396942,rec1O3W4AKYF71kXe
Untitled Goose Game,1613,76,751,1,Q59618073,reck4xy7W1yoxXB52
Jimmy White's 'Whirlwind' Snooker,1614,76,751,1,Q3179162,recpaO0pT42ZMcBqa
Battlezone (1998),1615,76,758,1,Q811025,rec37dbmRJgMDSnDu
Gradius 3,1616,76,762,1,Q1194133,recB3UPGDWn6agQxK
Conker's Bad Fur Day,1617,76,777,1,Q841712,rec7XR9WACTwTcDF6
